,id,esp_id,label,"median(8,13)","rms(98,102)","median(98,102)",peak1x,peak2x,a,b,spectral_entropy,harmonic_energy,kurtosis
0,0,7,Normal,0.00217,0.0739347780141389,0.000745,0.04894,0.0104,-0.0002529389979972,-6.485688869308957,27.00325828930414,0.004450224355870298,793.5644558790653
1,1,0,Normal,0.00029,0.2664356533949614,0.002295,0.1595,0.02152,-0.0005463389799923,-7.630209164660003,27.72704404546179,0.012967384993527745,1574.3285498456837
2,2,4,Normal,0.042025,0.171980862307409,0.004265,0.11314,0.02472,-0.0034831149807686,-2.29397221986635,152.9843519932823,0.0034666773911133666,74.8325053078529
3,3,5,Normal,0.000915,0.0609108914727079,0.00031,0.03801,0.00534,-0.0009603218358439,-6.725640459540703,19.462640020242603,0.014215369379530725,1147.587620992034
4,4,7,Normal,0.001235,0.1056850348914168,0.00132,0.06891,0.00479,-0.0004968863364397,-6.407991420747306,35.865287439967,0.009793632293144445,568.5915841002753
5,5,4,Normal,0.001145,0.1462977296474555,0.00171,0.09863,0.02243,-0.0012813625747083,-6.1537853712178645,41.72960578291324,0.01843511192263481,933.1976239364725
6,6,4,Unbalance,0.02633,0.3126414585431689,0.005425,0.20942,0.0141,-0.0034370022691299,-2.7564701826671785,116.87716536700096,0.005309295902656712,74.87464713696471
7,7,5,Normal,0.001225,0.2669863363545033,0.0015,0.15706,0.00253,-0.0006153548857598,-6.499130785507605,33.133206520051544,0.007413279744839929,1171.0697170086028
8,8,1,Normal,0.00089,0.2078404027132357,0.00156,0.12862,0.00088,-0.0005130732373276,-6.357249844666219,43.909332657533476,0.034698870351035915,1378.2730266704266
9,9,0,Normal,0.00027,0.1397770685770738,0.001415,0.08378,0.00543,-0.000138542109971,-7.851387592632361,21.475287497456996,0.01524739421151947,784.0082499452769
10,10,1,Normal,0.003265,0.1955646529923033,0.003045,0.12467,0.00182,-0.001605230711317,-5.197187930307049,78.76561600407165,0.016859120778718775,380.6352837172305
11,11,8,Normal,0.00169,0.1345539148445707,0.00159,0.07997,0.00581,0.0004275083082525,-6.517451015992753,44.5323489227654,0.007732270316009588,797.4859216007218
12,12,5,Normal,0.00096,0.0633071259812037,0.000755,0.03936,0.00108,-0.000466034061066,-6.733618669951732,32.61188162790684,0.011321219164759899,748.7587402221451
13,13,5,Normal,0.00046,0.1092575828032086,0.000585,0.06315,0.00069,-0.0002234355272808,-7.478136560396963,24.378314639161164,0.014241659657976061,837.4218640712036
14,14,4,Normal,0.00103,0.0871482397986327,0.001905,0.05709,0.0166,-0.0003316330764705,-6.728470684621387,30.78713539287894,0.012776397679093311,953.8781608564693
15,15,8,Faulty sensor,0.007625,0.0058631817300847,0.00016,0.00334,0.00083,-0.0032433222669807,-4.088459483874059,40.31936288393114,0.004594899172464477,88.46780180033412
16,16,0,Unbalance,0.0005,0.4062925497717131,0.00275,0.23448,0.01694,9.96380628275626e-05,-7.422509605853479,43.87753077077726,0.017650531605167313,1644.5146626839799
17,17,8,Faulty sensor,0.00776,0.005805772989017,0.00016,0.00346,0.00087,-0.0033061019245251,-4.0392748576059,40.77961356634571,0.004537019170067323,57.878279620421125
18,18,1,Normal,0.00027,0.1031015722479536,0.001235,0.05899,0.00682,2.992768703281117e-05,-7.648507536445584,28.013820411936937,0.017530007870916964,1193.323960759272
19,19,10,Rubbing,0.00353,0.0751976794854735,0.00192,0.00227,0.0004,-0.0013035065772474,-5.136763151503887,61.76357122497403,0.003523984041438799,364.39540313075895
20,20,8,Faulty sensor,0.005355,0.0092408008310968,0.00018,0.00503,0.00078,-0.0031637048294526,-4.400734651389503,34.11183137488844,0.005775722717190854,68.85770566403663
21,21,2,Rubbing,0.01183,0.1457034876041064,0.00118,0.08752,0.0026,-0.0019588620004055,-3.9230611732251983,75.77132437453162,0.0037589062299473474,51.12010114563803
22,22,3,Normal,0.00123,0.1765552151594509,0.00114,0.11539,0.0196,-0.0003691633939751,-6.523914598335807,35.63694975916775,0.012044947693898946,1204.2897202393358
23,23,10,Normal,0.002595,0.0808152510359276,0.0012799999999999,0.00167,0.00057,-0.0005590546334213,-5.87228646515649,54.62751243821069,0.006331666397806049,236.09605529825143
24,24,8,Normal,0.001465,0.1384093378352776,0.00177,0.08466,0.00403,0.0004673224059115,-6.726778872076482,48.85550997902942,0.00617978837458635,385.6797776452493
25,25,7,Normal,0.00089,0.1962066798047406,0.00239,0.11736,0.01693,0.001029731113621,-7.159558416084949,54.01616904698798,0.01722722077411319,997.6200070499314
26,26,2,Rubbing,0.01147,0.0966279985304466,0.001425,0.06031,0.00714,-0.0018070999584579,-3.894941003138357,83.8952875223438,0.0037614013279107586,68.19106098975193
27,27,1,Unbalance,0.00124,0.2666771701889758,0.00311,0.17806,0.005,0.0001970029645453,-6.4147889911021085,54.541410621438615,0.01546341838046495,1803.3795522784196
28,28,5,Unbalance,0.00061,0.2555535043782417,0.001245,0.16961,0.00194,-0.0008666853392522,-6.946580986716352,24.840962620269412,0.012349771429012169,1966.9482753105508
29,29,8,Normal,0.001635,0.0917589576008795,0.001815,0.04221,0.00133,0.0006554360406653,-6.461078196341473,57.28596538349806,0.009838502080562595,173.4851774941266
30,30,3,Normal,0.00125,0.156130891241932,0.00092,0.09282,0.01659,-0.0006747111600839,-6.477788057164255,34.084701664938905,0.017269381718683856,989.766115911197
31,31,8,Faulty sensor,0.00594,0.0034248065638806,0.00014,0.00195,0.00035,-0.0031678537956655,-4.352576709042321,33.84661807446849,0.005422805308656756,62.827231768894094
32,32,2,Normal,0.000965,0.05757453343276,0.00046,0.03322,0.00591,-0.0003981274675816,-6.643170469657026,29.22959364790696,0.02447127406886733,430.2159957506042
33,33,1,Normal,0.00029,0.1365917914810403,0.000995,0.07997,0.00157,6.906134719505235e-05,-7.29779717205292,30.74504337243989,0.03509056016665649,1430.230024747634
